iter	Passed	Remaining
757	6634	2118
758	6642	2109
759	6651	2100
760	6659	2091
761	6667	2082
762	6676	2073
763	6686	2065
764	6701	2058
765	6711	2050
766	6721	2041
767	6729	2032
768	6737	2023
769	6745	2014
770	6752	2005
771	6760	1996
772	6768	1987
773	6776	1978
774	6784	1969
775	6793	1961
776	6802	1952
777	6810	1943
778	6818	1934
779	6826	1925
780	6834	1916
781	6841	1907
782	6849	1898
783	6857	1889
784	6865	1880
785	6873	1871
786	6881	1862
787	6890	1853
788	6898	1844
789	6906	1835
790	6914	1827
791	6922	1818
792	6930	1809
793	6938	1800
794	6946	1791
795	6954	1782
796	6962	1773
797	6969	1764
798	6977	1755
799	6985	1746
800	6994	1737
801	7002	1728
802	7011	1720
803	7019	1711
804	7027	1702
805	7034	1693
806	7043	1684
807	7050	1675
808	7059	1666
809	7067	1657
810	7075	1648
811	7083	1639
812	7091	1631
813	7099	1622
814	7106	1613
815	7114	1604
816	7122	1595
817	7130	1586
818	7138	1577
819	7146	1568
820	7154	1559
821	7164	1551
822	7173	1542
823	7181	1533
824	7190	1525
825	7198	1516
826	7207	1507
827	7214	1498
828	7223	1489
829	7231	1481
830	7239	1472
831	7247	1463
832	7255	1454
833	7263	1445
834	7270	1436
835	7278	1427
836	7286	1419
837	7294	1410
838	7303	1401
839	7311	1392
840	7319	1383
841	7327	1374
842	7334	1366
843	7342	1357
844	7350	1348
845	7358	1339
846	7366	1330
847	7374	1321
848	7382	1313
849	7391	1304
850	7398	1295
851	7408	1286
852	7416	1278
853	7425	1269
854	7433	1260
855	7442	1251
856	7450	1243
857	7458	1234
858	7466	1225
859	7474	1216
860	7482	1208
861	7491	1199
862	7499	1190
863	7508	1181
864	7516	1173
865	7525	1164
866	7533	1155
867	7541	1146
868	7549	1138
869	7557	1129
870	7566	1120
871	7574	1111
872	7581	1102
873	7592	1094
874	7600	1085
875	7609	1077
876	7618	1068
877	7627	1059
878	7636	1051
879	7645	1042
880	7655	1034
881	7664	1025
882	7672	1016
883	7681	1008
884	7691	999
885	7699	990
886	7707	981
887	7717	973
888	7725	964
889	7733	955
890	7741	947
891	7749	938
892	7757	929
893	7765	920
894	7773	911
895	7781	903
896	7790	894
897	7800	885
898	7808	877
899	7816	868
900	7824	859
901	7833	851
902	7841	842
903	7848	833
904	7856	824
905	7865	816
906	7872	807
907	7880	798
908	7888	789
909	7896	781
910	7905	772
911	7913	763
912	7921	754
913	7929	746
914	7937	737
915	7945	728
916	7953	719
917	7961	711
918	7969	702
919	7977	693
920	7986	685
921	7994	676
922	8002	667
923	8010	658
924	8019	650
925	8027	641
926	8036	632
927	8044	624
928	8052	615
929	8060	606
930	8069	598
931	8077	589
932	8085	580
933	8092	571
934	8102	563
935	8110	554
936	8118	545
937	8127	537
938	8135	528
939	8143	519
940	8151	511
941	8159	502
942	8167	493
943	8176	485
944	8185	476
945	8195	467
946	8203	459
947	8212	450
948	8220	441
949	8230	433
950	8240	424
951	8249	415
952	8257	407
953	8267	398
954	8275	389
955	8285	381
956	8295	372
957	8304	364
958	8312	355
959	8321	346
960	8331	338
961	8340	329
962	8349	320
963	8359	312
964	8368	303
965	8378	294
966	8388	286
967	8398	277
968	8407	268
969	8416	260
970	8428	251
971	8438	243
972	8449	234
973	8459	225
974	8468	217
975	8478	208
976	8487	199
977	8497	191
978	8505	182
979	8514	173
980	8524	165
981	8532	156
982	8542	147
983	8551	139
984	8561	130
985	8571	121
986	8581	113
987	8592	104
988	8601	95
989	8611	86
990	8620	78
991	8631	69
992	8640	60
993	8651	52
994	8660	43
995	8669	34
996	8679	26
997	8689	17
998	8698	8
999	8708	0
